ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1669662424053951,Telugu,Telugu,agree,false
1671673823890460,Marathi,Marathi,agree,false
1672392883790170,Tamil,Tamil,agree,false
1673435757132082,Malayalam,Malayalam,agree,false
1673473457313905,English,Hindi,disagree,true
1674027553637979,Gujarati,Gujarati,agree,false
1674406057031821,English,Hindi,disagree,true
1674516020404016,English,Hindi,disagree,true
1675155500460063,Kannada,Kannada,agree,false
1676164730555007,Marathi,Marathi,agree,false
1676742056654769,Gujarati,Gujarati,agree,false
1676825953767096,Telugu,Telugu,agree,false
1677552406571209,Marathi,Marathi,agree,false
1677639010144848,English,Hindi,disagree,true
1678438890143831,Marathi,Marathi,agree,false
1678500320119217,Tamil,Tamil,agree,false
1678816606470135,Bengali,Bengali,agree,false
1679385150149383,Gujarati,Gujarati,agree,false
1679466513497742,Tamil,Tamil,agree,false
1679656313349867,Kannada,Kannada,agree,false
1679783823054856,English,Hindi,disagree,true
1680615213081868,Tamil,Tamil,agree,false
1680723016283648,Marathi,Tamil,disagree,true
1682172103136114,Telugu,Telugu,agree,false
1682634462923678,Tamil,Tamil,agree,false
1683000729728094,Bengali,Bengali,agree,false
1683164669767833,Marathi,Marathi,agree,false
1683232069690419,Telugu,Telugu,agree,false
1683264352685191,English,Hindi,disagree,true
1685365425953446,Marathi,Marathi,agree,false
1685447422464956,English,Hindi,disagree,true
1686679699000031,Marathi,Marathi,agree,false
1687411885636150,Tamil,Tamil,agree,false
1687487609106178,English,Hindi,disagree,true
1688462195504963,Kannada,Kannada,agree,false
1688911125634993,Kannada,Kannada,agree,false
1689041099181537,Tamil,Tamil,agree,false
1689973585509293,Telugu,Telugu,agree,false
1690288165491901,English,Hindi,disagree,true
1690732371937108,Kannada,Kannada,agree,false
1691098845361818,Marathi,Marathi,agree,false
1691307355416551,Telugu,Telugu,agree,false
1691809848507615,Malayalam,Malayalam,agree,false
1692608401755773,Bengali,Bengali,agree,false
1694758394881604,Telugu,Telugu,agree,false
1696014508193655,Marathi,Marathi,agree,false
1698123041376849,Tamil,Tamil,agree,false
1698263594660134,Telugu,Telugu,agree,false
1698470371304291,Marathi,Marathi,agree,false
1699159654789405,Tamil,Tamil,agree,false
